term,normalized_term,semantic_hint,category,jurisdiction,source_name,source_url,source_family,source_authority,source_authority_level,source_attested,derived_variant,parent_term,acronym,acronym_expansion,collision_risk,license_status,retrieval_date,notes,collision_census_name,cross_evidence_overlaps
FOIA Public Liaison,foia public liaison,ROLE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
FOIA Request,foia request,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
FOIA Requester Service Center,foia requester service center,GOVERNMENT_STRUCTURE,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
FON,fon,IDENTIFIER_TYPE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,Funding Opportunity Number,FON,Funding Opportunity Number,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Formal Comment,formal comment,PROCESS_EVENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Formula Grant,formula grant,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
FRA,fra,LEGAL_ADMIN,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Federal Records Act,FRA,Federal Records Act,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
FRC,frc,GOVERNMENT_STRUCTURE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Federal Records Center,FRC,Federal Records Center,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
FRCP,frcp,PROGRAM_ADMIN,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Federal Records Center Program,FRCP,Federal Records Center Program,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Frozen Records,frozen records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Functional Arrangement,functional arrangement,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Funding Opportunity Announcement,funding opportunity announcement,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,FOA,Funding Opportunity Announcement,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Funding Opportunity Number,funding opportunity number,IDENTIFIER_TYPE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,FON,Funding Opportunity Number,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Funding Period,funding period,FISCAL_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
General Records Schedules,general records schedules,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,GRS,General Records Schedules,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,explicit source acronym,false,
General Schedule,general schedule,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Grace Period,grace period,PROCESS_EVENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,finance_accounting_tax
Grade,grade,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,,true,
Grant Agreement,grant agreement,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
GRS,grs,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,General Records Schedules,GRS,General Records Schedules,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Head of the Agency,head of the agency,ROLE,GOVERNMENT_STRUCTURE,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,source-listed alternate,false,
ICT,ict,DATA_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Information and Communication Technology,ICT,Information and Communication Technology,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Inactive Records,inactive records,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Indirect Cost,indirect cost,FISCAL_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Indirect Cost Rate,indirect cost rate,FISCAL_ADMIN,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,higher_ed
Ineligible,ineligible,ENFORCEMENT_COMPLIANCE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Informal Rulemaking,informal rulemaking,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Information and Communication Technology,information and communication technology,DATA_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,ICT,Information and Communication Technology,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Information Security,information security,RECORDS_INFORMATION,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Information System,information system,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,legal
Information Technology,information technology,DATA_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,IT,Information Technology,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Inherently Governmental Function,inherently governmental function,GOVERNMENT_STRUCTURE,PUBLIC_ADMIN,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Inspection,inspection,ENFORCEMENT_COMPLIANCE,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Interim Final Rule,interim final rule,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Inventory,inventory,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,HIGH,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,records survey sense,false,finance_accounting_tax
IT,it,DATA_SYSTEM,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Information Technology,IT,Information Technology,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Job Grading,job grading,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Job Opportunity Announcement,job opportunity announcement,DOCUMENT,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Legacy Schedules,legacy schedules,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,LS,Legacy Schedules,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,explicit source acronym,false,
Local Government,local government,GOVERNMENT_STRUCTURE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
LS,ls,DOCUMENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,Legacy Schedules,LS,Legacy Schedules,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
MAC,mac,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Multi-Agency Contract,MAC,Multi-Agency Contract,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
Mandatory Form,mandatory form,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Mandatory Grant,mandatory grant,PROGRAM_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Micro-Purchase,micro-purchase,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Micro-Purchase Threshold,micro-purchase threshold,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Multi-Agency Contract,multi-agency contract,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,MAC,Multi-Agency Contract,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
Multiple-Award Contract,multiple-award contract,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
NARA,nara,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,National Archives and Records Administration,NARA,National Archives and Records Administration,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,true,
National Archives and Records Administration,national archives and records administration,ORGANIZATION,OFFICIAL_ORGANIZATION,US_FEDERAL,USAGov — A-Z Index of U.S. Government Departments and Agencies,https://www.usa.gov/agency-index,USAGOV_AGENCIES,USAGov / U.S. General Services Administration,HIGH,True,False,,NARA,National Archives and Records Administration,MEDIUM,US_GOVERNMENT_WORK; official organization names only,2026-08-10,official organization name,false,
National Defense,national defense,PROGRAM_ADMIN,GOVERNMENT_STRUCTURE,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Near-Line Storage,near-line storage,DATA_SYSTEM,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,LOW,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Neutral Person,neutral person,ROLE,ADMINISTRATIVE_PROCEEDING,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Non-Federal Entity,non-federal entity,GOVERNMENT_STRUCTURE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Noncommercial Scientific Institution,noncommercial scientific institution,ORGANIZATION,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Nondevelopmental Item,nondevelopmental item,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Nonprofit Organization,nonprofit organization,ORGANIZATION,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Nonrecord Materials,nonrecord materials,RECORDS_INFORMATION,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Notice,notice,DOCUMENT,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; terminology only,2026-08-10,Federal Register document type,true,
Notice of Proposed Rulemaking,notice of proposed rulemaking,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,NPRM,Notice of Proposed Rulemaking,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,explicit rulemaking acronym,false,
Notice-and-Comment Rulemaking,notice-and-comment rulemaking,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
Novation Agreement,novation agreement,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
NPRM,nprm,RULEMAKING,RULEMAKING,US_FEDERAL,Office of the Federal Register — Reader Aids / Rulemaking,https://www.federalregister.gov/reader-aids,FEDERAL_REGISTER,Office of the Federal Register,HIGH,True,False,Notice of Proposed Rulemaking,NPRM,Notice of Proposed Rulemaking,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Obligations,obligations,FISCAL_ADMIN,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,finance_accounting_tax
Offer,offer,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,true,
Offeror,offeror,ROLE,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,HIGH,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Opportunity Category,opportunity category,DATA_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Opportunity Package,opportunity package,DOCUMENT_SYSTEM,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Optional Forms,optional forms,DOCUMENT,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Organization Applicant,organization applicant,ROLE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Organizational Arrangement,organizational arrangement,PROCESS_EVENT,RECORDS_MANAGEMENT,US_FEDERAL,NARA — Records Management Key Terms and Acronyms,https://www.archives.gov/files/records-mgmt/rm-glossary-of-terms.pdf,NARA_RM,National Archives and Records Administration,HIGH,True,False,,,,MEDIUM,NARA_US_GOVERNMENT_WORK_CC0; definitions not redistributed,2026-08-10,,false,
Oversight Agency for Audit,oversight agency for audit,GOVERNMENT_STRUCTURE,GRANTS,US_FEDERAL,Grants.gov — Grant Terminology,https://grants.gov/learn-grants/grant-terminology,GRANTS_GOV,U.S. federal government grants portal,HIGH,True,False,,,,LOW,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Partial Grant/Partial Denial,partial grant/partial denial,PROCESS_EVENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Past Performance,past performance,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,,false,
Pay System,pay system,EMPLOYMENT_ADMIN,GOVERNMENT_EMPLOYMENT,US_FEDERAL,OPM — Classification & Qualifications,https://www.opm.gov/policy-data-oversight/classification-qualifications/,OPM_CLASSIFICATION,U.S. Office of Personnel Management,HIGH,True,False,,,,MEDIUM,US_GOVERNMENT_WORK; terminology only,2026-08-10,,false,
PBA,pba,PROCUREMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,Performance-Based Acquisition,PBA,Performance-Based Acquisition,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,Explicit acronym/abbreviation attested by source; parent expansion preserved.,false,
Pending Request or Pending Appeal,pending request or pending appeal,PROCESS_EVENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,LOW,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Perfected Request,perfected request,DOCUMENT,PUBLIC_RECORDS,US_FEDERAL,FOIA.gov — Glossary,https://www.foia.gov/data.html,FOIA_GOV,"U.S. Department of Justice, Office of Information Policy",HIGH,True,False,,,,MEDIUM,DOJ_PUBLIC_DOMAIN_UNLESS_INDICATED; definitions not redistributed,2026-08-10,,false,
Performance Work Statement,performance work statement,DOCUMENT,PROCUREMENT,US_FEDERAL,Acquisition.gov — Federal Acquisition Regulation Part 2,https://www.acquisition.gov/far/part-2,FAR_PART_2,Federal Acquisition Regulation,HIGH,True,False,,PWS,Performance Work Statement,MEDIUM,US_GOVERNMENT_WORK; definitions not redistributed,2026-08-10,explicit source acronym,false,
